member_id,segment,home_market,pattern,is_targeted,recommended_intervention,top_category,top_subcategory,top_merchant,recommended_voucher,predicted_uplift,te_points,te_credit,expected_spend,leakage_estimate,total_spend,category_hhi,merchant_diversity,threshold_score,mean_cash
M00000,platinum,Hong Kong,Points Optimiser,True,2x / 3x points,retail,Premium Retail,Ladies' Market,3x points on retail,0.16716053241777265,0.14169932261386936,0.11306401116663516,5908.1,457.3989322960231,6799.17,0.39989447792559507,1.0,0.25,0.21763333333333335
M00001,core,Singapore,Threshold Chaser,True,"Spend X, get Y back",dining,Fine Dining,Armando al Pantheon,Spend & get-back at Armando al Pantheon,0.1631017701548827,0.11805755457527682,0.1665364496963986,3187.6000000000004,887.5016850591727,3187.6,0.32772224958535134,1.0,0.45454545454545453,0.07579999999999999
M00003,platinum,Australia,Points Optimiser,True,2x / 3x points,dining,Casual Dining,Street Food: BBQ Chicken,3x points on dining,0.36707308053503246,0.36707308053503246,0.15973998476937024,60.37,227.3456466428174,65.05,0.4530908111244174,1.0,0.0,0.316
M00005,gold,Hong Kong,Category Loyalist,True,Category-specific reward,dining,Fine Dining,카페개네,Fine Dining reward (dining),0.12570480056333874,0.12570480056333874,0.10393707818865802,4210.95,639.251220961488,4215.8099999999995,0.6227091326362328,1.0,0.09090909090909091,0.32683333333333336
M00006,core,Australia,Category Loyalist,True,Category-specific reward,retail,Premium Retail,Abbesses shops,Premium Retail reward (retail),0.2604359530767787,0.2604359530767787,0.27431979919523897,140.79,339.0994680507784,138.79,0.586628019952858,1.0,1.0,0.04
M00007,platinum,Singapore,Points Optimiser,True,2x / 3x points,transport,Rail & Metro,Osaka Metro Midosuji,3x points on transport,0.1596463940772605,0.13598434715786817,0.11651791957793217,4733.639999999999,2762.6177612078613,4750.24,0.34865657858474053,1.0,0.23529411764705882,0.24364
M00008,gold,Hong Kong,Points Optimiser,True,2x / 3x points,lodging,Hotel,Cerulean Tower Tokyu Hotel,3x points on lodging,0.14932931931507581,0.11712212616424947,0.1026462054450657,3213.63,6.1321109500630655,3213.63,0.30881926663543374,1.0,0.0,0.1166
M00009,core,Singapore,Category Loyalist,True,Category-specific reward,dining,Fine Dining,Mongdol Fish Restaurant,Fine Dining reward (dining),0.18096953213965242,0.13404504061982894,0.17835173927456396,6628.33,2873.172280620872,6628.33,0.6658608602914015,1.0,0.25,0.055400000000000005
M00010,core,Hong Kong,Immediate Value Seeker,True,Cashback / statement credit,retail,Premium Retail,Kyoto Craft Center,Cashback at Kyoto Craft Center,0.16746622665090227,0.12404728819834132,0.17234618395459733,1049.97,882.3127052146588,1066.23,0.4094067003410958,1.0,0.25,0.2163
M00011,platinum,Singapore,Category Loyalist,True,Category-specific reward,dining,Fine Dining,La Maison Rose,Fine Dining reward (dining),0.16015171647478255,0.14309797140946193,0.10989149031557997,10502.3,18051.281810922377,10502.3,0.617199772279475,1.0,0.3333333333333333,0.27103333333333335
M00012,core,United States,Already Loyal,False,No incentive,dining,Fine Dining,Breizh Café,—,0.1493664194752477,0.1313408441503907,0.1308902451391358,9670.630000000001,1590.091796437983,9682.99,0.36807662021452836,0.9523809523809523,0.14285714285714285,0.2856714285714286
M00014,gold,Singapore,Category Loyalist,True,Category-specific reward,dining,Cafe & Coffee,Lucky Coffee,Cafe & Coffee reward (dining),0.2387813635919841,0.2387813635919841,0.16941780164442832,373.62999999999994,1828.5356123862887,382.55,0.5015914027928723,1.0,0.4,0.6288
M00015,core,Singapore,Fee-Sensitive Traveller,False,No incentive (FX-offset out of scope),dining,Fine Dining,Ginza Kagari,—,0.15133951330342027,0.11931696515225447,0.1525821907545914,3126.42,517.4742154034934,3126.42,0.31492520112382466,1.0,0.3333333333333333,0.4110333333333333
M00017,core,Japan,Category Loyalist,True,Category-specific reward,lodging,Upscale Hotel,Mandarin Oriental Kuala Lumpur,Upscale Hotel reward (lodging),0.1798853401791976,0.1798853401791976,0.121179897414382,107.89,8.752042936938935,445.70000000000005,0.507504296659894,1.0,0.0,0.4729
M00018,gold,Singapore,Points Optimiser,True,2x / 3x points,retail,Premium Retail,Darlin's Massage,3x points on retail,0.3290311281886405,0.3290311281886405,0.2526075199335265,137.18,246.7682764738345,147.07,0.44925771552832716,1.0,0.25,0.4571
M00020,core,Singapore,Threshold Chaser,True,"Spend X, get Y back",lodging,Upscale Hotel,Base Backpackers Sydney,Spend & get-back at Base Backpackers Sydney,0.11691734982647912,0.11691734982647912,0.14851865275764572,1746.2,240.16958591238233,1746.2,0.3177893938479447,1.0,0.4,0.178
M00021,core,United States,Threshold Chaser,True,"Spend X, get Y back",dining,Fine Dining,바랗,Spend & get-back at 바랗,0.17321559834614259,0.1294799226617642,0.1736503602891286,1956.3000000000002,6.852295674988453,3057.7400000000002,0.2991467660117946,1.0,0.5,0.24855
M00024,core,United States,Merchant Explorer,True,Merchant-specific voucher,dining,Fine Dining,Donghae Fish Restaurant,Donghae Fish Restaurant voucher,0.16664071910916936,0.1234287992059931,0.16955416858170946,5404.29,1427.4594216806636,5603.51,0.5589319828982899,0.8928571428571429,0.14285714285714285,0.21905
M00028,platinum,Australia,Merchant Explorer,True,Merchant-specific voucher,lodging,Upscale Hotel,Marriott Singapore Orchard,Marriott Singapore Orchard voucher,0.1855651878388168,0.15017245457821599,0.12029969228322338,10098.49,3584.5120496268246,10613.79,0.36716670884279534,1.0,0.23809523809523808,0.16206666666666666
M00029,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,retail,Premium Retail,Landmark,Cashback at Landmark,0.14761561115340566,0.11046412436306922,0.1506730351341039,3556.96,10.73257993700988,3598.77,0.38198021834998735,1.0,0.3333333333333333,0.07333333333333335
M00030,gold,Hong Kong,Category Loyalist,True,Category-specific reward,dining,Fine Dining,Yung Kee,Fine Dining reward (dining),0.1657387823692368,0.12693027775580734,0.13132461069579512,6823.1900000000005,178.04496899849,7124.0599999999995,0.6921947885359261,1.0,0.10526315789473684,0.35388000000000003
M00031,platinum,Singapore,Points Optimiser,True,2x / 3x points,retail,Premium Retail,Abbesses shops,3x points on retail,0.15348878493810927,0.13509206481464,0.0900577248919287,8797.279999999999,5105.927042583462,8797.279999999999,0.27247502866597423,1.0,0.16666666666666666,0.0783
M00032,gold,Singapore,Already Loyal,False,No incentive,retail,Premium Retail,IFC Mall,—,0.11928225062856307,0.11928225062856307,0.07105189651126677,19517.33,1413.413588926092,21602.97,0.3484711522962675,1.0,0.08695652173913043,0.3143333333333333
M00033,core,Australia,Immediate Value Seeker,True,Cashback / statement credit,transport,Premium Transport,Samseong Jungang,Cashback at Samseong Jungang,0.11781876010876186,0.11781876010876186,0.16039008465042331,1376.97,1137.9174564151542,1427.79,0.3008085107311262,1.0,0.18181818181818182,0.3037666666666667
M00034,platinum,Australia,Threshold Chaser,True,"Spend X, get Y back",lodging,Upscale Hotel,Parkroyal Collection Pickering,Spend & get-back at Parkroyal Collection Pickering,0.15926284270085367,0.13497444584992752,0.09413840524469495,4370.01,343.6397009043554,5190.34,0.263127963482972,1.0,0.625,0.28125
M00037,centurion,Singapore,Low Responsiveness,False,No incentive,lodging,Upscale Hotel,Hôtel Particulier Montmartre,—,0.1141532128396667,0.1141532128396667,0.10858589794746398,1399.42,1362.7857953101764,1399.42,0.35399584906871634,1.0,0.25,0.04
M00040,core,Singapore,Threshold Chaser,True,"Spend X, get Y back",retail,Premium Retail,Get & Go,Spend & get-back at Get & Go,0.12365859340878405,0.12365859340878405,0.16631376244594728,558.73,3.2928234255831654,558.73,0.3005300917651202,1.0,0.75,0.04
M00041,platinum,Singapore,Points Optimiser,True,2x / 3x points,retail,Premium Retail,IGA,3x points on retail,0.1389252196105839,0.1389252196105839,0.127676496943398,1653.02,850.0330820455591,1661.3,0.29446752674714727,0.9,0.2,0.31806666666666666
M00042,core,Singapore,Category Loyalist,True,Category-specific reward,dining,Fine Dining,Jaisalmer Palace,Fine Dining reward (dining),0.1460089547791666,0.1460089547791666,0.15530772464891623,1599.1,349.4831893614681,1631.1100000000001,0.5620603341714892,1.0,0.25,0.29350000000000004
M00043,core,Japan,Merchant Explorer,True,Merchant-specific voucher,dining,Fine Dining,Jungsik Seoul,Jungsik Seoul voucher,0.1797536276369464,0.13096535623814942,0.2156119478263491,7475.360000000001,2646.6496118666455,7494.42,0.5807228042399531,0.9615384615384616,0.34615384615384615,0.24817777777777777
M00045,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,dining,Fine Dining,Bird Land,Cashback at Bird Land,0.11803974721316662,0.11803974721316662,0.15740588354941337,665.4,496.5537122956538,673.83,0.34930567340820184,1.0,0.25,0.2965666666666667
M00046,platinum,Japan,Points Optimiser,True,2x / 3x points,dining,Fine Dining,Breizh Café,3x points on dining,0.12107504621087524,0.12107504621087524,0.10672161397210098,2018.19,720.2641677797002,2018.1899999999998,0.2649486761594919,1.0,0.125,0.0783
M00047,gold,Australia,Threshold Chaser,True,"Spend X, get Y back",retail,Premium Retail,Kagui,Spend & get-back at Kagui,0.15831130042861663,0.13543131253585894,0.10660075023798847,5564.27,979.4151397582237,5913.900000000001,0.42867463403331835,1.0,0.4,0.4325333333333334
M00048,gold,Singapore,Merchant Explorer,True,Merchant-specific voucher,lodging,Budget & Hostel,The Inn at the Roman Forum,The Inn at the Roman Forum voucher,0.1589636600312009,0.1337349908449712,0.10195873731484392,15552.59,5012.774024223307,17280.04,0.3180791719843231,0.9259259259259259,0.14814814814814814,0.204225
M00049,core,Australia,Immediate Value Seeker,True,Cashback / statement credit,dining,Fine Dining,Yat Lok,Cashback at Yat Lok,0.2123560740570952,0.17399372541753133,0.19137825736980374,3136.3599999999997,453.2218017293205,3136.36,0.44470024021571236,1.0,0.0,0.1283
M00051,core,Hong Kong,Already Loyal,False,No incentive,dining,Fine Dining,Yak Bar and Food,—,0.14096957864393464,0.10345587491038152,0.13531011852273567,7158.35,231.96112444498274,7315.24,0.3065578237642476,0.95,0.2,0.14326
M00052,gold,Hong Kong,Fee-Sensitive Traveller,False,No incentive (FX-offset out of scope),dining,Fast Food,McDonald's,—,0.1435117566750604,0.1435117566750604,0.12746054688610764,1044.22,4.124392357208805,1289.23,0.3699606126455347,1.0,0.09090909090909091,0.43779999999999997
M00053,core,United States,Low Responsiveness,False,No incentive,dining,Fine Dining,L'As du Fallafel,—,0.11142027291117382,0.11142027291117382,0.15354987970924366,2235.72,196.570259865331,2273.31,0.32387833491170465,1.0,0.14285714285714285,0.42025
M00057,platinum,Hong Kong,Merchant Explorer,True,Merchant-specific voucher,dining,Fine Dining,Breizh Café,Breizh Café voucher,0.15740925369993128,0.12895999249974477,0.10707472879855635,10445.78,2391.007985807109,11155.59,0.28985707260003707,1.0,0.16666666666666666,0.3052416666666667
M00058,platinum,Singapore,Merchant Explorer,True,Merchant-specific voucher,lodging,Upscale Hotel,ibis Styles Central Sydney,ibis Styles Central Sydney voucher,0.16257734207807936,0.13439772794614296,0.11587260597300095,10167.95,865.0107396930073,10581.47,0.29977828246644816,1.0,0.23333333333333334,0.2990555555555556
M00061,core,Singapore,Merchant Explorer,True,Merchant-specific voucher,dining,Fine Dining,Roscioli,Roscioli voucher,0.18556268810332058,0.12780701749476855,0.17104592418144463,11615.949999999999,4901.945112039542,12867.369999999999,0.41574779000667095,0.95,0.375,0.19882307692307694
M00062,gold,Singapore,Category Loyalist,True,Category-specific reward,lodging,Upscale Hotel,Gion Hatanaka,Upscale Hotel reward (lodging),0.1770370017343663,0.1770370017343663,0.1667141622960123,3364.37,4210.709266252894,3364.37,0.566147844438449,1.0,0.125,0.387275
M00063,gold,United States,Low Responsiveness,False,No incentive,transport,Rail & Metro,Osaka Metro Midosuji,—,0.10440125375075568,0.10440125375075568,0.11462407857614887,3454.2099999999996,146.31925581899586,3458.7599999999998,0.4498873883152467,1.0,0.0,0.31903333333333334
M00064,core,Hong Kong,Fee-Sensitive Traveller,False,No incentive (FX-offset out of scope),dining,Fine Dining,Kukuru Takoyaki,—,0.12693471523325853,0.12693471523325853,0.15878672311704914,2568.04,465.1746491816847,3762.06,0.34732489888089324,1.0,0.22727272727272727,0.40335000000000004
M00067,core,Australia,Merchant Explorer,True,Merchant-specific voucher,transport,Premium Transport,Hong Kong Tramways,Hong Kong Tramways voucher,0.16906211029645726,0.12063818533520825,0.16454435702058745,4983.77,154.0431400131586,5731.22,0.35486952441050024,1.0,0.19230769230769232,0.3144142857142857
M00068,gold,Australia,Low Responsiveness,False,No incentive,lodging,Hotel,Hotel 1888,—,0.11253032900526812,0.11283701110927327,0.11457660341614272,4925.31,911.7148076241674,4925.31,0.4920205215884627,1.0,0.25,0.0648
M00069,core,Singapore,Points Optimiser,True,2x / 3x points,dining,Fine Dining,Bar Tonarelli,3x points on dining,0.17668675061438158,0.17668675061438158,0.16783744799851813,2249.44,3825.9805086878505,2249.44,0.4285094060094012,1.0,0.2857142857142857,0.44806666666666667
M00070,core,Singapore,Category Loyalist,True,Category-specific reward,lodging,Budget & Hostel,Seoul Youth Hostel,Budget & Hostel reward (lodging),0.19953149408254534,0.19953149408254534,0.16119150671958268,750.9399999999999,23.32671861176005,750.9399999999999,0.7731291331295738,1.0,0.0,0.04
M00071,core,Singapore,Threshold Chaser,True,"Spend X, get Y back",dining,Fine Dining,Yung Kee,Spend & get-back at Yung Kee,0.1264821905773746,0.1264821905773746,0.14665283485046865,1684.22,21.12451724546304,1991.5900000000001,0.45623077137838697,1.0,0.5,0.30645
M00072,core,Hong Kong,Immediate Value Seeker,True,Cashback / statement credit,dining,Fine Dining,Breizh Café,Cashback at Breizh Café,0.1531480516676057,0.11878015349479017,0.15876543454165237,5246.5,820.398719552062,5319.65,0.38312547394680696,1.0,0.0,0.524525
M00073,centurion,Japan,Already Loyal,False,No incentive,retail,Premium Retail,THE CLIGE (Bags),—,0.14255301227699177,0.1250822331961334,0.09560106927300116,4215.650000000001,1659.6327060575559,7725.97,0.43753375996867583,1.0,0.3333333333333333,0.3286
M00074,core,Singapore,Points Optimiser,True,2x / 3x points,retail,Premium Retail,EmQuartier,3x points on retail,0.2582570991080173,0.2582570991080173,0.1811852299832586,81.75999999999999,9.38180828152354,383.73,0.3625752704287305,1.0,0.14285714285714285,0.46499999999999997
M00076,platinum,Japan,Points Optimiser,True,2x / 3x points,dining,Fine Dining,Armando al Pantheon,3x points on dining,0.1728184607554316,0.13638985384132277,0.12736279890936347,3578.88,1794.3096280178522,3578.88,0.46173895805741916,1.0,0.0,0.0708
M00077,core,Singapore,Immediate Value Seeker,True,Cashback / statement credit,lodging,Hotel,Langham Place Hotel Mongkok,Cashback at Langham Place Hotel Mongkok,0.16786915095906182,0.12149889520638828,0.16815258691283322,2393.19,312.2246013963048,2393.19,0.2746755218714347,1.0,0.0,0.14
M00078,gold,Australia,Points Optimiser,True,2x / 3x points,retail,Luxury,Gucci,3x points on retail,0.23802796779441893,0.23802796779441893,0.21377478139491157,506.99,1263.9570050104078,505.99,0.49255283196661503,1.0,0.3333333333333333,0.0708
M00079,gold,United States,Fee-Sensitive Traveller,False,No incentive (FX-offset out of scope),retail,Premium Retail,Campo de' Fiori market,—,0.14562220232510595,0.106523156025478,0.11948735766804815,1971.0300000000002,876.192091224532,2004.67,0.278878030516717,1.0,0.2857142857142857,0.43565
M00080,core,Australia,Merchant Explorer,True,Merchant-specific voucher,dining,Fine Dining,Curry Bowl,Curry Bowl voucher,0.18347801796059676,0.13517432916972233,0.1618041540864288,6792.03,1036.8108064949754,6900.099999999999,0.5014093370111496,1.0,0.08695652173913043,0.2288857142857143
M00081,platinum,Australia,Category Loyalist,True,Category-specific reward,retail,Premium Retail,"Web Marketing Team srl - SEO, SEM, SOCIAL e WEB 2.0",Premium Retail reward (retail),0.2778956130785877,0.26250777343440984,0.2685867292802735,2178.25,4737.091571200372,2176.25,0.8192027946623663,1.0,0.0,0.0708
M00082,gold,Singapore,Low Responsiveness,False,No incentive,dining,Fine Dining,La Maison Rose,—,0.114529376797502,0.09751841226500452,0.0848793473457567,38636.27,19163.51502271078,39663.08,0.39089158295164605,0.972972972972973,0.21621621621621623,0.12967
