decline_id,trip_id,member_id,category,dest_district,reason
D00000,T002154,M01001,retail,George Town,card_not_accepted
D00001,T004297,M04585,dining,Khao San,card_not_accepted
D00002,T004581,M03047,dining,Khao San,card_not_accepted
D00003,T002239,M02506,retail,Malioboro,card_not_accepted
D00004,T007199,M00160,dining,Old City,card_not_accepted
D00005,T008155,M03363,transport,Ba Dinh,card_not_accepted
D00006,T007189,M02491,transport,Khao San,card_not_accepted
D00007,T005113,M04760,transport,Han River,card_not_accepted
D00008,T009015,M01174,lodging,Khao San,card_not_accepted
D00009,T007419,M00988,transport,Khao San,card_not_accepted
D00010,T007421,M04030,lodging,Ubud,card_not_accepted
D00011,T008676,M01946,lodging,Malioboro,card_not_accepted
D00012,T008488,M04874,lodging,Ba Dinh,card_not_accepted
D00013,T011177,M00895,retail,George Town,card_not_accepted
D00014,T007754,M02250,lodging,Han River,card_not_accepted
D00015,T007263,M03910,lodging,Old Quarter,card_not_accepted
D00016,T000406,M01627,retail,Old City,card_not_accepted
D00017,T004078,M00188,transport,Han River,card_not_accepted
D00018,T002602,M02281,lodging,Old Quarter,card_not_accepted
D00019,T003763,M00038,retail,Khao San,card_not_accepted
D00020,T003473,M03612,dining,Ubud,card_not_accepted
D00021,T012669,M01280,retail,Old Quarter,card_not_accepted
D00022,T002150,M04651,lodging,George Town,card_not_accepted
D00023,T011505,M01684,dining,Old Quarter,card_not_accepted
D00024,T007849,M04729,dining,Ubud,card_not_accepted
D00025,T009701,M04962,transport,Old City,card_not_accepted
D00026,T006434,M02356,dining,Old City,card_not_accepted
D00027,T000180,M02161,retail,Ubud,card_not_accepted
D00028,T005947,M02686,transport,Old City,card_not_accepted
D00029,T007214,M01944,retail,Malioboro,card_not_accepted
D00030,T011968,M01034,dining,George Town,card_not_accepted
D00031,T013341,M01970,dining,Khao San,card_not_accepted
D00032,T012968,M01755,lodging,Ubud,card_not_accepted
D00033,T014059,M02673,dining,Ubud,card_not_accepted
D00034,T012084,M00728,lodging,Malioboro,card_not_accepted
D00035,T013860,M01280,lodging,Old City,card_not_accepted
D00036,T005500,M03323,retail,Ba Dinh,card_not_accepted
D00037,T000295,M03463,retail,Malioboro,card_not_accepted
D00038,T014393,M02097,lodging,Malioboro,card_not_accepted
D00039,T014326,M00676,transport,Ubud,card_not_accepted
D00040,T014952,M04506,transport,Ubud,card_not_accepted
D00041,T005447,M03474,lodging,Ubud,card_not_accepted
D00042,T007849,M04729,transport,Ubud,card_not_accepted
D00043,T008847,M03184,lodging,Ubud,card_not_accepted
D00044,T001805,M03347,retail,Ubud,card_not_accepted
D00045,T007502,M03026,lodging,Ba Dinh,card_not_accepted
D00046,T008935,M03444,transport,George Town,card_not_accepted
D00047,T004331,M04132,transport,Ba Dinh,card_not_accepted
