step,dest_country,dest_city,dest_district,merchants_in_district_after,marginal_value,covered_value_after
1,Vietnam,Hanoi,Old Quarter,1,62566.27795710844,62566.27795710844
2,Vietnam,Da Nang,Han River,1,49937.92898736032,49937.92898736032
3,Thailand,Bangkok,Khao San,1,48883.08885775029,48883.08885775029
4,Indonesia,Bali,Ubud,1,47731.80590185973,47731.80590185973
5,Vietnam,Hanoi,Old Quarter,2,39894.02016764516,102460.2981247536
6,Thailand,Chiang Mai,Old City,1,35008.160214351716,35008.160214351716
7,Vietnam,Hanoi,Ba Dinh,1,33940.83585876675,33940.83585876675
8,Malaysia,Penang,George Town,1,33294.388076030395,33294.388076030395
9,Indonesia,Yogyakarta,Malioboro,1,33031.13205806344,33031.13205806344
10,Vietnam,Da Nang,Han River,2,31841.829356029943,81779.75834339026
11,Thailand,Bangkok,Khao San,2,31169.233593930232,80052.32245168052
12,Indonesia,Bali,Ubud,2,30435.143170772077,78166.9490726318
13,Vietnam,Hanoi,Old Quarter,3,25437.550340257338,127897.84846501093
14,Thailand,Chiang Mai,Old City,2,22322.188489155993,57330.34870350771
15,Vietnam,Hanoi,Ba Dinh,2,21641.632433123454,55582.46829189021
16,Malaysia,Penang,George Town,2,21229.439128297276,54523.827204327674
17,Indonesia,Yogyakarta,Malioboro,2,21061.579680157698,54092.711738221136
18,Vietnam,Da Nang,Han River,3,20303.246796541298,102083.00513993157
19,Thailand,Bangkok,Khao San,3,19874.380803965018,99926.70325564554
20,Indonesia,Bali,Ubud,3,19406.30408432344,97573.25315695525
21,Vietnam,Hanoi,Old Quarter,4,16219.698205244076,144117.54667025502
22,Thailand,Chiang Mai,Old City,3,14233.255786493364,71563.60449000107
23,Vietnam,Hanoi,Ba Dinh,3,13799.314086410332,69381.78237830054
24,Malaysia,Penang,George Town,3,13536.488031343144,68060.31523567082
25,Indonesia,Yogyakarta,Malioboro,3,13429.456121693654,67522.16785991479
