region,dest_country,dest_city,dest_district,category,sub_category,merchant_name,mcc,visits,avg_spend_per_visit,price_low,price_high,price_range,est_recoverable_value,acceptance_density,cash_intensity,credit_share,cash_share,priority_rank
SEA,Vietnam,Hanoi,Old Quarter,retail,General Retail,Hang Ngang silk shops,5311,152,15.0,5.0,25.0,$5–25 / visit,62850.14572754189,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,1
SEA,Vietnam,Da Nang,Han River,lodging,Budget & Hostel,Grand Mercure Danang,7011,130,20.0,20.0,60.0,$20–60 / visit,49937.93085802052,0.21,0.316,0.6839999999999999,0.316,2
SEA,Thailand,Bangkok,Khao San,retail,Premium Retail,Granny Bike,5311,42,30.0,10.0,30.0,$10–30 / visit,48883.088857774106,0.22,0.4571,0.5428999999999999,0.4571,3
SEA,Indonesia,Bali,Ubud,retail,Local Shops,Bali Bagus,5311,45,10.0,5.0,15.0,$5–15 / visit,47731.80590186035,0.14,0.8005,0.1995,0.8005,4
SEA,Vietnam,Hanoi,Old Quarter,dining,Fine Dining,Pho Gia Truyen Bat Dan,5812,143,25.0,10.0,40.0,$10–40 / visit,40075.02224941164,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,5
SEA,Thailand,Chiang Mai,Old City,transport,Premium Transport,RTC,4111,55,20.0,5.0,25.0,$5–25 / visit,35008.16021435176,0.31,0.4571,0.5428999999999999,0.4571,6
SEA,Vietnam,Hanoi,Ba Dinh,transport,Ride-hail & Taxi,Grab,4111,56,30.0,10.0,25.0,$10–25 / visit,33940.83585876677,0.29,0.316,0.6839999999999999,0.316,7
SEA,Malaysia,Penang,George Town,transport,Premium Transport,Swettenham Pier,4111,56,30.0,10.0,35.0,$10–35 / visit,33294.38807603083,0.33,0.4729,0.5271,0.4729,8
SEA,Indonesia,Yogyakarta,Malioboro,transport,City Transport,TransJakarta,4111,30,10.0,5.0,15.0,$5–15 / visit,33031.13205806344,0.19,0.8005,0.1995,0.8005,9
SEA,Vietnam,Da Nang,Han River,retail,General Retail,Han Market,5311,130,20.0,10.0,35.0,$10–35 / visit,31841.830548815542,0.21,0.316,0.6839999999999999,0.316,10
SEA,Thailand,Bangkok,Khao San,retail,General Retail,Velo Thailand,5311,41,25.0,10.0,45.0,$10–45 / visit,31169.233593945417,0.22,0.4571,0.5428999999999999,0.4571,11
SEA,Indonesia,Bali,Ubud,transport,City Transport,Ubud Palace stop,4111,43,5.0,5.0,10.0,$5–10 / visit,30435.143170772473,0.14,0.8005,0.1995,0.8005,12
SEA,Vietnam,Hanoi,Old Quarter,lodging,Budget & Hostel,La Siesta Classic Ma May,7011,128,15.0,20.0,50.0,$20–50 / visit,25552.96236309378,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,13
SEA,Thailand,Chiang Mai,Old City,transport,Ride-hail & Taxi,Grab,4111,52,25.0,10.0,25.0,$10–25 / visit,22322.188489156022,0.31,0.4571,0.5428999999999999,0.4571,14
SEA,Vietnam,Hanoi,Ba Dinh,transport,Rail & Metro,Saigon Metro,4111,55,20.0,5.0,25.0,$5–25 / visit,21641.63243312346,0.29,0.316,0.6839999999999999,0.316,15
SEA,Malaysia,Penang,George Town,transport,Premium Transport,KLIA Ekspres,4111,49,35.0,10.0,45.0,$10–45 / visit,21229.439128297552,0.33,0.4729,0.5271,0.4729,16
SEA,Indonesia,Yogyakarta,Malioboro,transport,Premium Transport,Malioboro 1,4111,26,15.0,5.0,15.0,$5–15 / visit,21061.5796801577,0.19,0.8005,0.1995,0.8005,17
SEA,Vietnam,Da Nang,Han River,lodging,Budget & Hostel,Hilton Da Nang,7011,120,25.0,20.0,55.0,$20–55 / visit,20303.24755709497,0.21,0.316,0.6839999999999999,0.316,18
SEA,Thailand,Bangkok,Khao San,retail,Convenience,7-Eleven,5311,39,15.0,10.0,25.0,$10–25 / visit,19874.380803974695,0.22,0.4571,0.5428999999999999,0.4571,19
SEA,Indonesia,Bali,Ubud,transport,City Transport,TransJakarta,4111,41,5.0,5.0,10.0,$5–10 / visit,19406.304084323685,0.14,0.8005,0.1995,0.8005,20
SEA,Vietnam,Hanoi,Old Quarter,lodging,Budget & Hostel,Hanoi Social Club stay,7011,125,15.0,15.0,45.0,$15–45 / visit,16293.288160040227,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,21
SEA,Thailand,Chiang Mai,Old City,transport,Premium Transport,Chang Phuak Gate,4111,52,30.0,10.0,25.0,$10–25 / visit,14233.255786493375,0.31,0.4571,0.5428999999999999,0.4571,22
SEA,Vietnam,Hanoi,Ba Dinh,transport,Rail & Metro,Vietnam Airlines,4111,53,30.0,5.0,30.0,$5–30 / visit,13799.314086410332,0.29,0.316,0.6839999999999999,0.316,23
SEA,Malaysia,Penang,George Town,transport,Premium Transport,KOMTAR Terminal,4111,46,30.0,10.0,45.0,$10–45 / visit,13536.488031343315,0.33,0.4729,0.5271,0.4729,24
SEA,Indonesia,Yogyakarta,Malioboro,transport,City Transport,Mangkubumi 1,4111,25,10.0,5.0,15.0,$5–15 / visit,13429.45612169365,0.19,0.8005,0.1995,0.8005,25
SEA,Vietnam,Da Nang,Han River,retail,General Retail,Vincom Da Nang,5311,109,20.0,10.0,35.0,$10–35 / visit,12945.922211749748,0.21,0.316,0.6839999999999999,0.316,26
SEA,Thailand,Bangkok,Khao San,lodging,Budget & Hostel,Thai Green,7011,36,20.0,20.0,60.0,$20–60 / visit,12672.464696665638,0.22,0.4571,0.5428999999999999,0.4571,27
SEA,Indonesia,Bali,Ubud,retail,Local Shops,Fresh! Spa,5311,38,5.0,5.0,15.0,$5–15 / visit,12374.005803097381,0.14,0.8005,0.1995,0.8005,28
SEA,Vietnam,Hanoi,Old Quarter,retail,General Retail,Dong Xuan Market,5311,113,20.0,5.0,30.0,$5–30 / visit,10389.059213327371,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,29
SEA,Thailand,Chiang Mai,Old City,transport,Rail & Metro,MRT Blue Line,4111,51,30.0,10.0,35.0,$10–35 / visit,9075.524578701681,0.31,0.4571,0.5428999999999999,0.4571,30
SEA,Vietnam,Hanoi,Ba Dinh,transport,Ride-hail & Taxi,Mai Linh Taxi,4111,47,30.0,10.0,30.0,$10–30 / visit,8798.831134566119,0.29,0.316,0.6839999999999999,0.316,31
SEA,Malaysia,Penang,George Town,transport,Premium Transport,ETS,4111,42,30.0,10.0,30.0,$10–30 / visit,8631.245842875696,0.33,0.4729,0.5271,0.4729,32
SEA,Indonesia,Yogyakarta,Malioboro,transport,Rail & Metro,MRT Jakarta,4111,24,10.0,5.0,10.0,$5–10 / visit,8562.999284161233,0.19,0.8005,0.1995,0.8005,33
SEA,Vietnam,Da Nang,Han River,transport,Rail & Metro,Vietnam Airlines,4111,44,15.0,5.0,15.0,$5–15 / visit,8254.684450917252,0.21,0.316,0.6839999999999999,0.316,34
SEA,Thailand,Bangkok,Khao San,retail,Premium Retail,Khao San market stalls,5311,35,30.0,10.0,35.0,$10–35 / visit,8080.320241027085,0.22,0.4571,0.5428999999999999,0.4571,35
SEA,Indonesia,Bali,Ubud,retail,Local Shops,Vio,5311,38,5.0,5.0,15.0,$5–15 / visit,7890.014448386079,0.14,0.8005,0.1995,0.8005,36
SEA,Vietnam,Hanoi,Old Quarter,dining,Fine Dining,Bun Cha Huong Lien,5812,111,25.0,10.0,35.0,$10–35 / visit,6624.356623283087,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,37
SEA,Thailand,Chiang Mai,Old City,transport,Premium Transport,BMTA,4111,51,20.0,10.0,30.0,$10–30 / visit,5786.809962115525,0.31,0.4571,0.5428999999999999,0.4571,38
SEA,Vietnam,Hanoi,Ba Dinh,transport,Rail & Metro,Hanoi Metro,4111,47,20.0,10.0,35.0,$10–35 / visit,5610.382432765505,0.29,0.316,0.6839999999999999,0.316,39
SEA,Malaysia,Penang,George Town,transport,Ride-hail & Taxi,Grab,4111,38,30.0,10.0,35.0,$10–35 / visit,5503.525332985944,0.33,0.4729,0.5271,0.4729,40
SEA,Indonesia,Yogyakarta,Malioboro,transport,City Transport,Parkir Bus Wisata,4111,24,10.0,5.0,10.0,$5–10 / visit,5460.009405898294,0.19,0.8005,0.1995,0.8005,41
SEA,Vietnam,Da Nang,Han River,transport,Rail & Metro,Saigon Metro,4111,38,15.0,5.0,15.0,$5–15 / visit,5263.41918865936,0.21,0.316,0.6839999999999999,0.316,42
SEA,Thailand,Bangkok,Khao San,retail,General Retail,Travel Store,5311,35,20.0,10.0,25.0,$10–25 / visit,5152.239659798103,0.22,0.4571,0.5428999999999999,0.4571,43
SEA,Indonesia,Bali,Ubud,retail,Local Shops,Threads of Life,5311,36,10.0,5.0,15.0,$5–15 / visit,5030.895328993501,0.14,0.8005,0.1995,0.8005,44
SEA,Vietnam,Hanoi,Old Quarter,transport,Rail & Metro,Vietnam Airlines,4111,57,15.0,5.0,15.0,$5–15 / visit,4223.876269387443,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,45
SEA,Thailand,Chiang Mai,Old City,transport,Rail & Metro,Airport Rail Link,4111,51,20.0,10.0,30.0,$10–30 / visit,3689.832939930187,0.31,0.4571,0.5428999999999999,0.4571,46
SEA,Vietnam,Hanoi,Ba Dinh,transport,Premium Transport,Ba Dinh Square,4111,33,20.0,10.0,30.0,$10–30 / visit,3577.337780495537,0.29,0.316,0.6839999999999999,0.316,47
SEA,Malaysia,Penang,George Town,retail,Premium Retail,Penang Times Square,5311,37,60.0,20.0,60.0,$20–60 / visit,3509.202685475432,0.33,0.4729,0.5271,0.4729,48
SEA,Indonesia,Yogyakarta,Malioboro,transport,Premium Transport,Blue Bird,4111,23,15.0,5.0,15.0,$5–15 / visit,3481.4557053204257,0.19,0.8005,0.1995,0.8005,49
SEA,Vietnam,Da Nang,Han River,transport,Ride-hail & Taxi,Grab,4111,38,15.0,5.0,15.0,$5–15 / visit,3356.1042484754385,0.21,0.316,0.6839999999999999,0.316,50
SEA,Thailand,Bangkok,Khao San,retail,Premium Retail,Thai Airways Contact Center,5311,33,35.0,10.0,45.0,$10–45 / visit,3285.213050989456,0.22,0.4571,0.5428999999999999,0.4571,51
SEA,Indonesia,Bali,Ubud,transport,City Transport,Kura-Kura Bus,4111,35,5.0,5.0,10.0,$5–10 / visit,3207.840489628737,0.14,0.8005,0.1995,0.8005,52
SEA,Vietnam,Hanoi,Old Quarter,transport,Ride-hail & Taxi,Mai Linh Taxi,4111,51,15.0,5.0,15.0,$5–15 / visit,2693.2624183285902,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,53
SEA,Thailand,Chiang Mai,Old City,transport,Premium Transport,BTS Skytrain,4111,45,30.0,10.0,30.0,$10–30 / visit,2352.741357280817,0.31,0.4571,0.5428999999999999,0.4571,54
SEA,Vietnam,Hanoi,Ba Dinh,retail,Premium Retail,Pow pow Snow,5311,22,55.0,20.0,65.0,$20–65 / visit,2281.011276704104,0.29,0.316,0.6839999999999999,0.316,55
SEA,Malaysia,Penang,George Town,transport,Premium Transport,Rapid Penang,4111,34,30.0,15.0,30.0,$15–30 / visit,2237.566422005861,0.33,0.4729,0.5271,0.4729,56
SEA,Indonesia,Yogyakarta,Malioboro,retail,General Retail,Srigading,5311,22,10.0,5.0,20.0,$5–20 / visit,2219.8741663365386,0.19,0.8005,0.1995,0.8005,57
SEA,Vietnam,Da Nang,Han River,transport,Ride-hail & Taxi,Mai Linh Taxi,4111,37,15.0,5.0,20.0,$5–20 / visit,2139.9465486053773,0.21,0.316,0.6839999999999999,0.316,58
SEA,Thailand,Bangkok,Khao San,lodging,Budget & Hostel,At Home Guest House,7011,32,20.0,20.0,60.0,$20–60 / visit,2094.7443253861356,0.22,0.4571,0.5428999999999999,0.4571,59
SEA,Indonesia,Bali,Ubud,transport,City Transport,Blue Bird,4111,34,10.0,5.0,15.0,$5–15 / visit,2045.4094020994582,0.14,0.8005,0.1995,0.8005,60
SEA,Vietnam,Hanoi,Old Quarter,transport,Ride-hail & Taxi,Grab,4111,48,10.0,5.0,15.0,$5–15 / visit,1717.2999376312443,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,61
SEA,Thailand,Chiang Mai,Old City,retail,Premium Retail,Green Bamboo Massage,5311,26,35.0,15.0,45.0,$15–45 / visit,1500.1741228870712,0.31,0.4571,0.5428999999999999,0.4571,62
SEA,Vietnam,Hanoi,Ba Dinh,lodging,Budget & Hostel,Khách Sạn Hanoi Friends Inn,7011,20,25.0,20.0,70.0,$20–70 / visit,1454.4370041932611,0.29,0.316,0.6839999999999999,0.316,63
SEA,Malaysia,Penang,George Town,transport,Premium Transport,Rapid KL,4111,34,50.0,10.0,45.0,$10–45 / visit,1426.7353417945437,0.33,0.4729,0.5271,0.4729,64
SEA,Indonesia,Yogyakarta,Malioboro,transport,Rail & Metro,Tugu Station,4111,22,15.0,5.0,20.0,$5–20 / visit,1415.4542615140938,0.19,0.8005,0.1995,0.8005,65
SEA,Vietnam,Da Nang,Han River,transport,Premium Transport,Dragon Bridge,4111,32,15.0,5.0,25.0,$5–25 / visit,1364.4901623566384,0.21,0.316,0.6839999999999999,0.316,66
SEA,Thailand,Bangkok,Khao San,retail,Premium Retail,Baan Sabai Thai Massage,5311,32,30.0,10.0,50.0,$10–50 / visit,1335.6679523161588,0.22,0.4571,0.5428999999999999,0.4571,67
SEA,Indonesia,Bali,Ubud,retail,Local Shops,Jaens Spa Ubud,5311,34,5.0,5.0,15.0,$5–15 / visit,1304.2106163704725,0.14,0.8005,0.1995,0.8005,68
SEA,Vietnam,Hanoi,Old Quarter,transport,City Transport,Hoan Kiem Lake walk,4111,42,10.0,5.0,15.0,$5–15 / visit,1094.998785011998,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,69
SEA,Thailand,Chiang Mai,Old City,lodging,Mid-scale Hotel,Rama Guest House,7011,26,50.0,20.0,100.0,$20–100 / visit,956.5532530872971,0.31,0.4571,0.5428999999999999,0.4571,70
SEA,Vietnam,Hanoi,Ba Dinh,dining,Fine Dining,DIY Box,5812,19,85.0,30.0,65.0,$30–65 / visit,927.3899786340575,0.29,0.316,0.6839999999999999,0.316,71
SEA,Malaysia,Penang,George Town,retail,Premium Retail,Telagamas Motors,5311,32,55.0,15.0,60.0,$15–60 / visit,909.7266188419129,0.33,0.4729,0.5271,0.4729,72
SEA,Indonesia,Yogyakarta,Malioboro,retail,General Retail,Indomaret,5311,21,10.0,5.0,25.0,$5–25 / visit,902.5334844743927,0.19,0.8005,0.1995,0.8005,73
SEA,Vietnam,Da Nang,Han River,transport,Rail & Metro,Hanoi Metro,4111,31,10.0,5.0,15.0,$5–15 / visit,870.0373401295576,0.21,0.316,0.6839999999999999,0.316,74
SEA,Thailand,Bangkok,Khao San,lodging,Budget & Hostel,Buddy Lodge,7011,30,20.0,20.0,65.0,$20–65 / visit,851.659487615792,0.22,0.4571,0.5428999999999999,0.4571,75
SEA,Indonesia,Bali,Ubud,transport,Rail & Metro,MRT Jakarta,4111,33,5.0,5.0,10.0,$5–10 / visit,831.601404641799,0.14,0.8005,0.1995,0.8005,76
SEA,Vietnam,Hanoi,Old Quarter,transport,Rail & Metro,Saigon Metro,4111,42,10.0,5.0,15.0,$5–15 / visit,698.2020513152877,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,77
SEA,Thailand,Chiang Mai,Old City,lodging,Budget & Hostel,Thapae Boutique House,7011,25,35.0,25.0,80.0,$25–80 / visit,609.9252826938482,0.31,0.4571,0.5428999999999999,0.4571,78
SEA,Vietnam,Hanoi,Ba Dinh,retail,Premium Retail,Cửa Hàng Ben,5311,18,25.0,15.0,40.0,$15–40 / visit,591.3299579089904,0.29,0.316,0.6839999999999999,0.316,79
SEA,Malaysia,Penang,George Town,transport,Premium Transport,Prasarana,4111,31,40.0,15.0,40.0,$15–40 / visit,580.067302453295,0.33,0.4729,0.5271,0.4729,80
SEA,Indonesia,Yogyakarta,Malioboro,transport,City Transport,Jalan Jend. Sudirman (U),4111,20,10.0,5.0,15.0,$5–15 / visit,575.4807574821662,0.19,0.8005,0.1995,0.8005,81
SEA,Vietnam,Da Nang,Han River,transport,Rail & Metro,Da Nang Station,4111,26,15.0,5.0,20.0,$5–20 / visit,554.7603010287338,0.21,0.316,0.6839999999999999,0.316,82
SEA,Thailand,Bangkok,Khao San,lodging,Budget & Hostel,Apple,7011,28,20.0,20.0,65.0,$20–65 / visit,543.0420648996038,0.22,0.4571,0.5428999999999999,0.4571,83
SEA,Indonesia,Bali,Ubud,retail,Local Shops,Delta Dewata,5311,32,5.0,5.0,15.0,$5–15 / visit,530.2524665278205,0.14,0.8005,0.1995,0.8005,84
SEA,Vietnam,Hanoi,Old Quarter,transport,Rail & Metro,Hanoi Metro,4111,41,10.0,5.0,15.0,$5–15 / visit,445.1932834386973,0.16,0.31600000000000006,0.6839999999999999,0.31600000000000006,85
SEA,Thailand,Chiang Mai,Old City,lodging,Mid-scale Hotel,T. J. R. Boutique House,7011,22,40.0,25.0,65.0,$25–65 / visit,388.9055306314659,0.31,0.4571,0.5428999999999999,0.4571,86
