txn_id,trip_id,member_id,category,mcc,merchant_name,dest_country,dest_district,currency,amount_usd,amount_local,amount
X0000000,T000000,M01393,dining,5812,Ichiran Dotonbori,Japan,Namba,JPY,531.34,79519.0,531.34
X0000001,T000002,M01552,dining,5812,Cork & Screw,Indonesia,SCBD,IDR,38.13,628348.0,38.13
X0000002,T000003,M01821,dining,5812,Cà Phê Trang,Vietnam,Ba Dinh,VND,104.04,2514001.0,104.04
X0000003,T000004,M04811,dining,5812,Thongsmith,Thailand,Sukhumvit,THB,313.61,10312.3,313.61
X0000004,T000005,M01090,dining,5812,Jumbo Seafood,Singapore,Orchard,SGD,697.02,911.32,697.02
X0000005,T000006,M00028,dining,5812,Yat Lok,Hong Kong,Mong Kok,HKD,206.85,1612.82,206.85
X0000006,T000007,M03242,dining,5812,소호,South Korea,Myeongdong,KRW,766.35,1090090.0,766.35
X0000007,T000008,M03876,dining,5812,MienThao Coffee,Vietnam,Han River,VND,23.66,571735.0,23.66
X0000008,T000009,M00862,dining,5812,Din Tai Fung Suria KLCC,Malaysia,KLCC,MYR,34.84,149.29,34.84
X0000009,T000010,M03363,dining,5812,L'As du Fallafel,France,Le Marais,EUR,964.06,853.16,964.06
X0000010,T000011,M00430,dining,5812,Zoe in Yellow Garden,Thailand,Old City,THB,24.97,820.97,24.97
X0000011,T000012,M01965,dining,5812,Maxwell Food Centre,Singapore,Chinatown,SGD,243.62,318.51,243.62
X0000012,T000014,M00290,dining,5812,Din Tai Fung ION,Singapore,Orchard,SGD,788.3,1030.66,788.3
X0000013,T000015,M00355,dining,5812,Singapore Famous BBQ Pork,Australia,CBD,AUD,745.14,1156.45,745.14
X0000014,T000017,M03344,dining,5812,Nhà Hàng Chả Cá Văn Miếu,Vietnam,Ba Dinh,VND,138.67,3350953.0,138.67
X0000015,T000018,M01645,dining,5812,Seonchang Fish Restaurant,South Korea,Gangnam,KRW,2369.05,3369839.0,2369.05
X0000016,T000019,M02980,dining,5812,Kikunoi,Japan,Gion,JPY,1104.15,165245.0,1104.15
X0000017,T000020,M04477,dining,5812,Nhà Hàng Chả Cá Thủy Hồng,Vietnam,Ba Dinh,VND,86.61,2092889.0,86.61
X0000018,T000021,M01063,dining,5812,Din Tai Fung Pavilion,Malaysia,Bukit Bintang,MYR,226.97,972.43,226.97
X0000019,T000022,M02653,dining,5812,Breizh Café,France,Le Marais,EUR,373.6,330.63,373.6
