trip_id,member_id,dest_country,dest_city,dest_district,acceptance_density,cash_intensity,price_level,dest_currency,fx_lcu_per_usd,start_date,end_date,nights,trip_type
T000000,M01393,Japan,Osaka,Namba,0.72,0.1166,1.0724,JPY,149.657927,2024-01-27,2024-02-01,5,leisure
T000001,M03093,Indonesia,Yogyakarta,Malioboro,0.19,0.8005,0.4736,IDR,16477.86518,2025-01-31,2025-02-04,4,leisure
T000002,M01552,Indonesia,Jakarta,SCBD,0.44,0.8005,0.4736,IDR,16477.86518,2025-03-07,2025-03-18,11,leisure
T000003,M01821,Vietnam,Hanoi,Ba Dinh,0.29,0.316,0.463,VND,24164.885833,2024-01-27,2024-02-09,13,business
T000004,M04811,Thailand,Bangkok,Sukhumvit,0.68,0.4571,0.5074,THB,32.882809,2025-05-16,2025-05-26,10,leisure
T000005,M01090,Singapore,Singapore,Orchard,0.96,0.0896,1.0,SGD,1.30745,2024-05-14,2024-05-19,5,leisure
T000006,M00028,Hong Kong,Hong Kong,Mong Kok,0.7,0.14,1.1713,HKD,7.797083,2024-08-17,2024-08-20,3,business
T000007,M03242,South Korea,Seoul,Myeongdong,0.81,0.04,0.9487,KRW,1422.440833,2024-02-02,2024-02-16,14,leisure
T000008,M03876,Vietnam,Da Nang,Han River,0.21,0.316,0.463,VND,24164.885833,2024-11-15,2024-11-22,7,leisure
T000009,M00862,Malaysia,Kuala Lumpur,KLCC,0.77,0.4729,0.5228,MYR,4.284424,2024-12-10,2024-12-13,3,leisure
T000010,M03363,France,Paris,Le Marais,0.74,0.04,1.2658,EUR,0.884969,2024-11-01,2024-11-04,3,leisure
T000011,M00430,Thailand,Chiang Mai,Old City,0.31,0.4571,0.5074,THB,32.882809,2025-05-06,2025-05-09,3,leisure
T000012,M01965,Singapore,Singapore,Chinatown,0.78,0.0896,1.0,SGD,1.30745,2024-03-06,2024-03-09,3,leisure
T000013,M03879,Thailand,Bangkok,Khao San,0.22,0.4571,0.5074,THB,32.882809,2025-01-18,2025-01-22,4,leisure
T000014,M00290,Singapore,Singapore,Orchard,0.96,0.0896,1.0,SGD,1.30745,2024-05-07,2024-05-19,12,business
T000015,M00355,Australia,Sydney,CBD,0.92,0.04,1.4968,AUD,1.551998,2024-10-22,2024-10-30,8,business
T000016,M02010,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2024-10-29,2024-11-07,9,leisure
T000017,M03344,Vietnam,Hanoi,Ba Dinh,0.29,0.316,0.463,VND,24164.885833,2024-11-19,2024-12-02,13,business
T000018,M01645,South Korea,Seoul,Gangnam,0.93,0.04,0.9487,KRW,1422.440833,2024-03-15,2024-03-25,10,leisure
T000019,M02980,Japan,Kyoto,Gion,0.48,0.1166,1.0724,JPY,149.657927,2025-06-03,2025-06-11,8,leisure
T000020,M04477,Vietnam,Hanoi,Ba Dinh,0.29,0.316,0.463,VND,24164.885833,2024-06-28,2024-07-03,5,leisure
T000021,M01063,Malaysia,Kuala Lumpur,Bukit Bintang,0.61,0.4729,0.5228,MYR,4.284424,2024-12-28,2025-01-05,8,leisure
T000022,M02653,France,Paris,Le Marais,0.74,0.04,1.2658,EUR,0.884969,2024-01-08,2024-01-18,10,business
T000023,M01437,Italy,Florence,Duomo,0.38,0.0708,1.14,EUR,0.884969,2025-03-01,2025-03-12,11,leisure
T000024,M03738,Indonesia,Bali,Seminyak,0.36,0.8005,0.4736,IDR,16477.86518,2024-10-21,2024-10-25,4,leisure
T000025,M04955,Italy,Florence,Duomo,0.38,0.0708,1.14,EUR,0.884969,2025-02-16,2025-02-20,4,business
T000026,M00051,Singapore,Singapore,Chinatown,0.78,0.0896,1.0,SGD,1.30745,2024-03-29,2024-04-02,4,leisure
T000027,M01404,Japan,Osaka,Namba,0.72,0.1166,1.0724,JPY,149.657927,2024-07-17,2024-07-21,4,business
T000028,M01283,Italy,Rome,Centro Storico,0.52,0.0708,1.14,EUR,0.884969,2024-11-06,2024-11-15,9,leisure
T000029,M03940,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2024-02-04,2024-02-13,9,business
T000030,M01821,Indonesia,Bali,Ubud,0.14,0.8005,0.4736,IDR,16477.86518,2024-08-10,2024-08-14,4,business
T000031,M01677,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2024-01-29,2024-02-05,7,business
T000032,M04370,Australia,Melbourne,Laneways,0.88,0.04,1.4968,AUD,1.551998,2024-01-10,2024-01-14,4,business
T000033,M00351,Vietnam,Ho Chi Minh City,District 1,0.38,0.316,0.463,VND,24164.885833,2025-03-11,2025-03-17,6,leisure
T000034,M00802,Thailand,Phuket,Patong,0.4,0.4571,0.5074,THB,32.882809,2025-05-08,2025-05-19,11,leisure
T000035,M04783,Japan,Tokyo,Ginza,0.91,0.1166,1.0724,JPY,149.657927,2025-01-06,2025-01-08,2,leisure
T000036,M00592,Indonesia,Yogyakarta,Malioboro,0.19,0.8005,0.4736,IDR,16477.86518,2024-01-15,2024-01-21,6,leisure
T000037,M01484,Vietnam,Hanoi,Old Quarter,0.16,0.316,0.463,VND,24164.885833,2024-05-19,2024-05-25,6,leisure
T000038,M01161,Indonesia,Yogyakarta,Malioboro,0.19,0.8005,0.4736,IDR,16477.86518,2024-05-23,2024-05-30,7,business
T000039,M04570,Hong Kong,Hong Kong,Central,0.95,0.14,1.1713,HKD,7.797083,2024-08-06,2024-08-12,6,leisure
T000040,M02932,Japan,Tokyo,Shibuya,0.94,0.1166,1.0724,JPY,149.657927,2025-01-21,2025-01-24,3,business
T000041,M01835,Vietnam,Hanoi,Ba Dinh,0.29,0.316,0.463,VND,24164.885833,2025-03-05,2025-03-15,10,leisure
T000042,M04044,Thailand,Bangkok,Sukhumvit,0.68,0.4571,0.5074,THB,32.882809,2024-08-08,2024-08-21,13,business
T000043,M02975,Singapore,Singapore,Chinatown,0.78,0.0896,1.0,SGD,1.30745,2024-09-05,2024-09-15,10,leisure
T000044,M03647,Singapore,Singapore,Orchard,0.96,0.0896,1.0,SGD,1.30745,2025-02-18,2025-03-03,13,business
T000045,M04839,Vietnam,Da Nang,Han River,0.21,0.316,0.463,VND,24164.885833,2024-02-02,2024-02-13,11,leisure
T000046,M01321,South Korea,Seoul,Myeongdong,0.81,0.04,0.9487,KRW,1422.440833,2024-09-09,2024-09-16,7,business
T000047,M04779,Indonesia,Jakarta,SCBD,0.44,0.8005,0.4736,IDR,16477.86518,2024-07-25,2024-08-08,14,business
